Transaction ID,Date,Customer ID,Gender,Age,Product Category,Product,Quantity,Price per Unit,Total Amount
T00001,2023-03-20,C1416,Female,28,Clothing,Shoes,4,2572.13,10288.52
T00002,2023-10-12,C1004,Male,43,Sports,Football,3,1265.99,3797.97
T00003,2023-06-06,C1075,Female,56,Home & Kitchen,Mixer Grinder,3,3448.96,10346.88
T00004,2024-06-22,C1195,Female,37,Beauty,Shampoo,2,486.83,973.66
T00005,2023-03-25,C1262,Female,46,Electronics,Laptop,4,55860.4,223441.6
T00006,2024-06-10,C1162,Male,18,Electronics,Headphones,1,2456.72,2456.72
T00007,2023-09-28,C1492,Female,42,Electronics,Smartwatch,3,6874.72,20624.16
T00008,2024-06-03,C1079,Male,34,Sports,Football,4,1086.79,4347.16
T00009,2024-11-23,C1024,Female,20,Beauty,Lipstick,2,754.82,1509.64
T00010,2023-07-25,C1455,Male,63,Home & Kitchen,Water Bottle,2,517.5,1035.0
T00011,2024-12-26,C1117,Male,26,Electronics,Laptop,4,60077.03,240308.12
T00012,2023-10-01,C1478,Male,34,Sports,Cricket Bat,3,2863.26,8589.78
T00013,2024-02-29,C1392,Female,50,Home & Kitchen,Cookware Set,3,2963.78,8891.34
T00014,2023-02-15,C1160,Male,34,Electronics,Headphones,3,2203.7,6611.1
T00015,2023-01-02,C1225,Male,57,Electronics,Tablet,4,20983.71,83934.84
T00016,2024-10-27,C1406,Female,50,Electronics,Laptop,1,62087.23,62087.23
T00017,2024-03-03,C1305,Male,32,Clothing,Jeans,2,1902.31,3804.62
T00018,2023-03-14,C1359,Female,23,Beauty,Lipstick,5,743.36,3716.8
T00019,2023-11-14,C1084,Female,25,Clothing,T-Shirt,2,904.45,1808.9
T00020,2023-01-22,C1410,Female,21,Clothing,Jacket,3,3914.56,11743.68
T00021,2023-01-12,C1087,Male,31,Beauty,Lipstick,1,629.44,629.44
T00022,2023-12-22,C1173,Female,36,Electronics,Tablet,5,21863.24,109316.2
T00023,2024-12-23,C1150,Female,61,Clothing,Shoes,5,3142.84,15714.2
T00024,2023-02-04,C1445,Male,45,Clothing,Shoes,1,2993.95,2993.95
T00025,2023-01-24,C1404,Female,47,Clothing,Shoes,1,3306.41,3306.41
T00026,2024-07-15,C1177,Female,37,Home & Kitchen,Table Lamp,4,1284.73,5138.92
T00027,2024-07-31,C1335,Female,51,Electronics,Headphones,1,2453.96,2453.96
T00028,2023-07-05,C1246,Female,59,Beauty,Face Cream,4,878.86,3515.44
T00029,2024-06-03,C1100,Female,35,Beauty,Skin Care Kit,4,1737.28,6949.12
T00030,2024-07-06,C1318,Male,19,Electronics,Smartphone,4,28855.64,115422.56
T00031,2023-05-10,C1231,Male,56,Beauty,Shampoo,5,442.62,2213.1
T00032,2023-08-17,C1261,Male,45,Electronics,Laptop,3,61336.89,184010.67
T00033,2023-10-14,C1395,Male,62,Electronics,Laptop,4,57802.04,231208.16
T00034,2023-12-27,C1257,Female,33,Sports,Cricket Bat,3,2456.52,7369.56
T00035,2024-07-29,C1374,Female,29,Sports,Running Shoes,4,4105.46,16421.84
T00036,2023-07-23,C1165,Male,54,Home & Kitchen,Water Bottle,4,430.5,1722.0
T00037,2024-09-11,C1251,Female,45,Clothing,T-Shirt,1,849.29,849.29
T00038,2023-10-20,C1020,Male,19,Electronics,Smartwatch,4,7447.4,29789.6
T00039,2023-02-28,C1325,Male,52,Home & Kitchen,Cookware Set,5,2917.6,14588.0
T00040,2024-11-23,C1242,Male,29,Clothing,T-Shirt,1,820.32,820.32
T00041,2023-07-04,C1039,Female,42,Electronics,Headphones,3,2138.03,6414.09
T00042,2024-01-19,C1126,Male,55,Clothing,Jacket,2,3334.79,6669.58
T00043,2023-01-08,C1498,Female,59,Electronics,Smartwatch,4,8491.23,33964.92
T00044,2024-05-31,C1495,Male,46,Sports,Running Shoes,1,4277.0,4277.0
T00045,2024-02-18,C1114,Male,43,Clothing,Jeans,1,1982.58,1982.58
T00046,2024-08-10,C1475,Female,64,Beauty,Face Cream,1,989.34,989.34
T00047,2024-10-15,C1053,Female,36,Clothing,T-Shirt,4,842.36,3369.44
T00048,2024-12-04,C1454,Male,45,Beauty,Skin Care Kit,1,1587.56,1587.56
T00049,2024-08-11,C1159,Female,65,Beauty,Perfume,1,2138.56,2138.56
T00050,2024-09-05,C1019,Male,55,Electronics,Laptop,3,72381.05,217143.15
T00051,2023-11-27,C1129,Male,40,Sports,Cricket Bat,2,2783.42,5566.84
T00052,2023-05-23,C1405,Female,29,Home & Kitchen,Mixer Grinder,5,3315.82,16579.1
T00053,2024-05-11,C1291,Male,50,Sports,Football,4,1217.46,4869.84
T00054,2023-01-03,C1085,Female,25,Sports,Dumbbells,2,2257.46,4514.92
T00055,2023-01-12,C1133,Male,46,Beauty,Face Cream,2,894.38,1788.76
T00056,2023-12-09,C1326,Female,53,Sports,Cricket Bat,5,2309.55,11547.75
T00057,2024-09-10,C1336,Female,62,Electronics,Smartphone,4,34099.71,136398.84
T00058,2023-11-20,C1277,Female,53,Electronics,Smartwatch,4,9091.18,36364.72
T00059,2024-07-17,C1494,Male,21,Electronics,Smartwatch,3,7043.41,21130.23
T00060,2023-04-16,C1420,Female,52,Clothing,Jacket,5,3818.18,19090.9
T00061,2023-12-16,C1459,Female,21,Clothing,Jeans,2,1677.22,3354.44
T00062,2023-11-08,C1241,Female,48,Clothing,Dress,2,2724.84,5449.68
T00063,2024-01-20,C1172,Male,53,Home & Kitchen,Cookware Set,5,2595.51,12977.55
T00064,2023-04-28,C1277,Female,30,Clothing,Shoes,2,2651.07,5302.14
T00065,2024-01-13,C1121,Female,32,Clothing,Dress,1,2720.31,2720.31
T00066,2023-10-20,C1068,Female,33,Beauty,Skin Care Kit,2,2016.01,4032.02
T00067,2023-05-26,C1403,Female,56,Electronics,Smartphone,3,33160.57,99481.71
T00068,2024-04-27,C1108,Male,22,Home & Kitchen,Water Bottle,2,492.77,985.54
T00069,2024-10-16,C1419,Male,34,Electronics,Smartphone,1,27450.66,27450.66
T00070,2024-03-16,C1254,Female,31,Sports,Dumbbells,3,2023.09,6069.27
T00071,2024-07-07,C1374,Female,24,Home & Kitchen,Mixer Grinder,2,3263.27,6526.54
T00072,2023-10-29,C1019,Male,56,Electronics,Smartwatch,1,8461.85,8461.85
T00073,2023-02-05,C1232,Male,49,Electronics,Tablet,2,20925.7,41851.4
T00074,2023-03-11,C1425,Male,26,Home & Kitchen,Table Lamp,1,1234.47,1234.47
T00075,2024-03-03,C1027,Female,19,Home & Kitchen,Water Bottle,5,502.86,2514.3
T00076,2023-09-16,C1342,Male,61,Home & Kitchen,Table Lamp,2,1264.85,2529.7
T00077,2024-04-15,C1286,Female,34,Home & Kitchen,Cookware Set,4,2935.94,11743.76
T00078,2023-10-14,C1303,Male,22,Electronics,Tablet,4,19285.86,77143.44
T00079,2024-02-04,C1396,Male,33,Clothing,T-Shirt,2,703.2,1406.4
T00080,2024-09-18,C1104,Male,62,Electronics,Tablet,3,24819.37,74458.11
T00081,2023-10-13,C1149,Male,61,Sports,Running Shoes,4,4512.4,18049.6
T00082,2024-04-04,C1038,Male,49,Beauty,Shampoo,2,488.87,977.74
T00083,2023-04-24,C1237,Male,53,Clothing,Dress,2,2172.33,4344.66
T00084,2024-03-24,C1331,Male,44,Electronics,Smartphone,1,26288.78,26288.78
T00085,2023-11-07,C1262,Female,43,Clothing,Jacket,4,3268.69,13074.76
T00086,2023-01-12,C1239,Male,54,Clothing,Jacket,3,3578.32,10734.96
T00087,2023-08-04,C1490,Male,62,Home & Kitchen,Mixer Grinder,2,3541.72,7083.44
T00088,2024-07-31,C1347,Male,32,Beauty,Lipstick,4,766.93,3067.72
T00089,2023-09-23,C1025,Female,37,Sports,Cricket Bat,3,2384.57,7153.71
T00090,2023-04-20,C1336,Female,50,Clothing,Jeans,1,1788.85,1788.85
T00091,2024-10-14,C1117,Female,58,Electronics,Smartwatch,4,8006.16,32024.64
T00092,2023-06-22,C1444,Male,42,Home & Kitchen,Cookware Set,5,2401.68,12008.4
T00093,2024-03-22,C1390,Female,31,Home & Kitchen,Water Bottle,4,471.77,1887.08
T00094,2024-05-31,C1467,Male,40,Beauty,Skin Care Kit,3,1864.58,5593.74
T00095,2023-02-25,C1463,Female,28,Home & Kitchen,Cookware Set,2,2557.87,5115.74
T00096,2023-07-09,C1494,Male,38,Clothing,T-Shirt,3,720.96,2162.88
T00097,2023-04-11,C1359,Female,21,Beauty,Lipstick,4,724.79,2899.16
T00098,2023-08-19,C1178,Female,53,Clothing,Dress,4,2255.31,9021.24
T00099,2023-04-02,C1470,Male,52,Electronics,Smartwatch,4,7771.52,31086.08
T00100,2024-02-09,C1246,Male,19,Electronics,Smartwatch,5,8646.33,43231.65
T00101,2023-01-13,C1213,Female,56,Electronics,Smartwatch,2,8434.34,16868.68
T00102,2024-11-02,C1164,Male,35,Beauty,Face Cream,2,934.91,1869.82
T00103,2023-11-04,C1256,Male,28,Clothing,T-Shirt,3,743.8,2231.4
T00104,2024-08-16,C1232,Male,51,Beauty,Skin Care Kit,2,1598.69,3197.38
T00105,2023-01-21,C1042,Male,46,Sports,Football,1,1241.07,1241.07
T00106,2024-02-29,C1129,Female,34,Electronics,Smartwatch,1,9092.8,9092.8
T00107,2023-08-20,C1277,Female,50,Clothing,Jeans,4,1571.27,6285.08
T00108,2023-07-19,C1433,Female,25,Home & Kitchen,Water Bottle,3,499.32,1497.96
T00109,2024-02-20,C1428,Male,62,Electronics,Laptop,4,64037.08,256148.32
T00110,2023-02-12,C1385,Male,25,Electronics,Laptop,5,56182.7,280913.5
T00111,2023-05-28,C1277,Male,41,Clothing,Shoes,3,2614.13,7842.39
T00112,2024-05-13,C1028,Female,32,Electronics,Smartphone,4,28647.33,114589.32
T00113,2023-12-18,C1008,Female,22,Sports,Football,3,1168.37,3505.11
T00114,2023-11-25,C1450,Female,25,Home & Kitchen,Cookware Set,4,3135.08,12540.32
T00115,2023-06-18,C1217,Female,21,Beauty,Face Cream,3,797.77,2393.31
T00116,2024-05-02,C1258,Male,53,Sports,Cricket Bat,2,2366.66,4733.32
T00117,2023-08-14,C1011,Female,33,Home & Kitchen,Table Lamp,5,1351.31,6756.55
T00118,2023-05-04,C1473,Male,26,Electronics,Smartphone,1,33852.75,33852.75
T00119,2024-03-10,C1174,Female,38,Sports,Cricket Bat,4,2305.52,9222.08
T00120,2023-02-08,C1497,Male,49,Beauty,Perfume,5,2058.7,10293.5
T00121,2024-10-22,C1126,Female,38,Home & Kitchen,Water Bottle,1,506.6,506.6
T00122,2024-06-17,C1348,Female,39,Sports,Dumbbells,3,2081.24,6243.72
T00123,2024-03-11,C1283,Female,46,Clothing,Shoes,5,2698.33,13491.65
T00124,2024-11-13,C1421,Female,61,Electronics,Smartphone,3,26856.08,80568.24
T00125,2023-01-30,C1295,Male,36,Electronics,Smartwatch,1,8020.07,8020.07
T00126,2023-07-05,C1144,Male,64,Clothing,Dress,1,2695.84,2695.84
T00127,2024-04-27,C1224,Male,18,Home & Kitchen,Mixer Grinder,4,3737.78,14951.12
